"Step","w1-baseline-fast - completion_len/mean","w1-baseline-fast - completion_len/mean__MIN","w1-baseline-fast - completion_len/mean__MAX","w1-alpha64-baseline - completion_len/mean","w1-alpha64-baseline - completion_len/mean__MIN","w1-alpha64-baseline - completion_len/mean__MAX","w1-alpha32-baseline - completion_len/mean","w1-alpha32-baseline - completion_len/mean__MIN","w1-alpha32-baseline - completion_len/mean__MAX","w1-alpha128-baseline - completion_len/mean","w1-alpha128-baseline - completion_len/mean__MIN","w1-alpha128-baseline - completion_len/mean__MAX","w1-alpha64-lr1e-5 - completion_len/mean","w1-alpha64-lr1e-5 - completion_len/mean__MIN","w1-alpha64-lr1e-5 - completion_len/mean__MAX","w1-alpha64-lr3e-6 - completion_len/mean","w1-alpha64-lr3e-6 - completion_len/mean__MIN","w1-alpha64-lr3e-6 - completion_len/mean__MAX","w1-alpha64-lr3e-6-b64-r16 - completion_len/mean","w1-alpha64-lr3e-6-b64-r16 - completion_len/mean__MIN","w1-alpha64-lr3e-6-b64-r16 - completion_len/mean__MAX","w1-alpha64-lr5e-6 - completion_len/mean","w1-alpha64-lr5e-6 - completion_len/mean__MIN","w1-alpha64-lr5e-6 - completion_len/mean__MAX","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/mean","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/mean__MIN","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/mean__MAX","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/mean","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/mean__MIN","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/mean__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/mean","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/mean__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/mean__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/mean","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/mean__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/mean__MAX"
"47","438.8671875","438.8671875","438.8671875","339.3828125","339.3828125","339.3828125","354.125","354.125","354.125","299.09375","299.09375","299.09375","168.0625","168.0625","168.0625","276.34375","276.34375","276.34375","245.765625","245.765625","245.765625","277.5","277.5","277.5","842.921875","842.921875","842.921875","415.7890625","415.7890625","415.7890625","866.875","866.875","866.875","663.1484375","663.1484375","663.1484375"
"48","463.7109375","463.7109375","463.7109375","327.9375","327.9375","327.9375","330.0390625","330.0390625","330.0390625","294.609375","294.609375","294.609375","167.1015625","167.1015625","167.1015625","272.6796875","272.6796875","272.6796875","303.578125","303.578125","303.578125","281.296875","281.296875","281.296875","902.7109375","902.7109375","902.7109375","326.796875","326.796875","326.796875","824.609375","824.609375","824.609375","719.9453125","719.9453125","719.9453125"
"49","456.2734375","456.2734375","456.2734375","345.296875","345.296875","345.296875","375.2109375","375.2109375","375.2109375","307.640625","307.640625","307.640625","153.3203125","153.3203125","153.3203125","247.671875","247.671875","247.671875","342.015625","342.015625","342.015625","243.921875","243.921875","243.921875","994.171875","994.171875","994.171875","350.8828125","350.8828125","350.8828125","792.7265625","792.7265625","792.7265625","599.0766129032259","599.0766129032259","599.0766129032259"
"50","449.8828125","449.8828125","449.8828125","330.1953125","330.1953125","330.1953125","381.1328125","381.1328125","381.1328125","282.265625","282.265625","282.265625","189.7578125","189.7578125","189.7578125","245.5390625","245.5390625","245.5390625","283.265625","283.265625","283.265625","259.6796875","259.6796875","259.6796875","826.0458333333333","826.0458333333333","826.0458333333333","301.2578125","301.2578125","301.2578125","796.5234375","796.5234375","796.5234375","637.5390625","637.5390625","637.5390625"
"51","448.7578125","448.7578125","448.7578125","328.5546875","328.5546875","328.5546875","377.328125","377.328125","377.328125","316.40625","316.40625","316.40625","150.2578125","150.2578125","150.2578125","265.15625","265.15625","265.15625","268.5625","268.5625","268.5625","257.8125","257.8125","257.8125","817.1640625","817.1640625","817.1640625","345.71875","345.71875","345.71875","931.734375","931.734375","931.734375","622.21875","622.21875","622.21875"
"52","452.9375","452.9375","452.9375","330.5078125","330.5078125","330.5078125","357.4453125","357.4453125","357.4453125","294.8359375","294.8359375","294.8359375","97.6484375","97.6484375","97.6484375","248.9296875","248.9296875","248.9296875","332.59375","332.59375","332.59375","272.7109375","272.7109375","272.7109375","844.96875","844.96875","844.96875","379.2890625","379.2890625","379.2890625","1032.953125","1032.953125","1032.953125","592.1171875","592.1171875","592.1171875"
"53","424.65625","424.65625","424.65625","330.1484375","330.1484375","330.1484375","364.859375","364.859375","364.859375","266.7265625","266.7265625","266.7265625","92.921875","92.921875","92.921875","250.125","250.125","250.125","260.765625","260.765625","260.765625","282.4609375","282.4609375","282.4609375","876.5","876.5","876.5","321.5859375","321.5859375","321.5859375","815.9765625","815.9765625","815.9765625","710.984375","710.984375","710.984375"
"54","440.2578125","440.2578125","440.2578125","328.5390625","328.5390625","328.5390625","369.3828125","369.3828125","369.3828125","303.5390625","303.5390625","303.5390625","84.7421875","84.7421875","84.7421875","254.9375","254.9375","254.9375","271.890625","271.890625","271.890625","276.7734375","276.7734375","276.7734375","747.90625","747.90625","747.90625","351.9765625","351.9765625","351.9765625","910.6015625","910.6015625","910.6015625","735.953125","735.953125","735.953125"
"55","451.3359375","451.3359375","451.3359375","338.578125","338.578125","338.578125","352.40625","352.40625","352.40625","285.8671875","285.8671875","285.8671875","86.40625","86.40625","86.40625","247.5390625","247.5390625","247.5390625","296.3125","296.3125","296.3125","252.359375","252.359375","252.359375","761.90625","761.90625","761.90625","340.359375","340.359375","340.359375","761.296875","761.296875","761.296875","606.34375","606.34375","606.34375"
"56","442.265625","442.265625","442.265625","313.0234375","313.0234375","313.0234375","353.703125","353.703125","353.703125","270.15625","270.15625","270.15625","87.3671875","87.3671875","87.3671875","235.515625","235.515625","235.515625","258.4375","258.4375","258.4375","226.4765625","226.4765625","226.4765625","869.3828125","869.3828125","869.3828125","334.171875","334.171875","334.171875","926.6328125","926.6328125","926.6328125","621.6640625","621.6640625","621.6640625"
"58","434.546875","434.546875","434.546875","325.6015625","325.6015625","325.6015625","355.0703125","355.0703125","355.0703125","265.4609375","265.4609375","265.4609375","68.1328125","68.1328125","68.1328125","234.8125","234.8125","234.8125","228.59375","228.59375","228.59375","237.1171875","237.1171875","237.1171875","697.1484375","697.1484375","697.1484375","342.1484375","342.1484375","342.1484375","849.0390625","849.0390625","849.0390625","699.9296875","699.9296875","699.9296875"
"59","419.6796875","419.6796875","419.6796875","302.7890625","302.7890625","302.7890625","379.578125","379.578125","379.578125","296.90625","296.90625","296.90625","78.3828125","78.3828125","78.3828125","220.0390625","220.0390625","220.0390625","282.28125","282.28125","282.28125","241.7265625","241.7265625","241.7265625","661.375","661.375","661.375","337.4453125","337.4453125","337.4453125","723.4609375","723.4609375","723.4609375","654.03125","654.03125","654.03125"
"60","455.953125","455.953125","455.953125","315.0541666666667","315.0541666666667","315.0541666666667","366.7578125","366.7578125","366.7578125","284.640625","284.640625","284.640625","59.375","59.375","59.375","218.203125","218.203125","218.203125","264.875","264.875","264.875","226.8359375","226.8359375","226.8359375","809.1171875","809.1171875","809.1171875","345.109375","345.109375","345.109375","900.6328125","900.6328125","900.6328125","730.1796875","730.1796875","730.1796875"
"61","439.6796875","439.6796875","439.6796875","305.78125","305.78125","305.78125","356.9296875","356.9296875","356.9296875","297.4140625","297.4140625","297.4140625","72.8046875","72.8046875","72.8046875","207.515625","207.515625","207.515625","250.90625","250.90625","250.90625","225.9375","225.9375","225.9375","851.84375","851.84375","851.84375","319.9453125","319.9453125","319.9453125","945.15625","945.15625","945.15625","682.8125","682.8125","682.8125"
"62","451.1796875","451.1796875","451.1796875","346.640625","346.640625","346.640625","380.046875","380.046875","380.046875","303.7421875","303.7421875","303.7421875","72.703125","72.703125","72.703125","208.546875","208.546875","208.546875","240.125","240.125","240.125","226.25","226.25","226.25","755.078125","755.078125","755.078125","315.0625","315.0625","315.0625","969.4375","969.4375","969.4375","636.5078125","636.5078125","636.5078125"
"63","438.0","438.0","438.0","298.78125","298.78125","298.78125","323.28125","323.28125","323.28125","275.2109375","275.2109375","275.2109375","71.9609375","71.9609375","71.9609375","215.609375","215.609375","215.609375","213.109375","213.109375","213.109375","217.8828125","217.8828125","217.8828125","708.8708333333333","708.8708333333333","708.8708333333333","320.8515625","320.8515625","320.8515625","862.8984375","862.8984375","862.8984375","626.4777777777779","626.4777777777779","626.4777777777779"
"64","434.3515625","434.3515625","434.3515625","338.5625","338.5625","338.5625","370.453125","370.453125","370.453125","257.703125","257.703125","257.703125","73.921875","73.921875","73.921875","214.44166666666666","214.44166666666666","214.44166666666666","285.953125","285.953125","285.953125","230.328125","230.328125","230.328125","810.7109375","810.7109375","810.7109375","343.1875","343.1875","343.1875","867.234375","867.234375","867.234375","607.1015625","607.1015625","607.1015625"
"65","437.203125","437.203125","437.203125","327.9","327.9","327.9","373.140625","373.140625","373.140625","286.34375","286.34375","286.34375","74.3984375","74.3984375","74.3984375","206.2265625","206.2265625","206.2265625","265.8125","265.8125","265.8125","230.046875","230.046875","230.046875","806.359375","806.359375","806.359375","353.8203125","353.8203125","353.8203125","965.1640625","965.1640625","965.1640625","637.2208333333333","637.2208333333333","637.2208333333333"
"66","444.4765625","444.4765625","444.4765625","316.6875","316.6875","316.6875","354.203125","354.203125","354.203125","267.4609375","267.4609375","267.4609375","77.8359375","77.8359375","77.8359375","207.1015625","207.1015625","207.1015625","298.75","298.75","298.75","214.0625","214.0625","214.0625","648.34375","648.34375","648.34375","346.1328125","346.1328125","346.1328125","886.21875","886.21875","886.21875","706.90625","706.90625","706.90625"
"67","430.4609375","430.4609375","430.4609375","307.1640625","307.1640625","307.1640625","356.953125","356.953125","356.953125","279.65625","279.65625","279.65625","74.53125","74.53125","74.53125","200.9765625","200.9765625","200.9765625","283.3125","283.3125","283.3125","212.63333333333333","212.63333333333333","212.63333333333333","705.3515625","705.3515625","705.3515625","364.72083333333336","364.72083333333336","364.72083333333336","846.828125","846.828125","846.828125","719.1048387096774","719.1048387096774","719.1048387096774"
"68","419.6640625","419.6640625","419.6640625","323.87083333333334","323.87083333333334","323.87083333333334","336.40625","336.40625","336.40625","277.0703125","277.0703125","277.0703125","74.6875","74.6875","74.6875","197.921875","197.921875","197.921875","232.21875","232.21875","232.21875","216.59375","216.59375","216.59375","816.1484375","816.1484375","816.1484375","343.1640625","343.1640625","343.1640625","929.34375","929.34375","929.34375","570.6048387096774","570.6048387096774","570.6048387096774"
"69","409.390625","409.390625","409.390625","306.1640625","306.1640625","306.1640625","383.0546875","383.0546875","383.0546875","263.734375","263.734375","263.734375","73.40625","73.40625","73.40625","199.703125","199.703125","199.703125","234.78125","234.78125","234.78125","236.421875","236.421875","236.421875","684.828125","684.828125","684.828125","343.5546875","343.5546875","343.5546875","955.5859375","955.5859375","955.5859375","765.234375","765.234375","765.234375"
"70","431.890625","431.890625","431.890625","301.859375","301.859375","301.859375","352.6328125","352.6328125","352.6328125","264.3671875","264.3671875","264.3671875","72.62083333333334","72.62083333333334","72.62083333333334","202.6640625","202.6640625","202.6640625","250.5625","250.5625","250.5625","184.9140625","184.9140625","184.9140625","604.3046875","604.3046875","604.3046875","351.4609375","351.4609375","351.4609375","905.0390625","905.0390625","905.0390625","637.4609375","637.4609375","637.4609375"
"71","431.1015625","431.1015625","431.1015625","284.328125","284.328125","284.328125","323.296875","323.296875","323.296875","","","","92.3984375","92.3984375","92.3984375","193.796875","193.796875","193.796875","260.578125","260.578125","260.578125","211.2578125","211.2578125","211.2578125","648.625","648.625","648.625","310.25","310.25","310.25","766.921875","766.921875","766.921875","647.1484375","647.1484375","647.1484375"
"72","414.5625","414.5625","414.5625","285.4453125","285.4453125","285.4453125","339.71875","339.71875","339.71875","","","","82.640625","82.640625","82.640625","205.0859375","205.0859375","205.0859375","232.296875","232.296875","232.296875","195.28125","195.28125","195.28125","733.5625","733.5625","733.5625","363.734375","363.734375","363.734375","961.3125","961.3125","961.3125","691.421875","691.421875","691.421875"
"73","427.4140625","427.4140625","427.4140625","300.578125","300.578125","300.578125","347.234375","347.234375","347.234375","","","","102.3125","102.3125","102.3125","187.828125","187.828125","187.828125","284.84375","284.84375","284.84375","227.5859375","227.5859375","227.5859375","661.1640625","661.1640625","661.1640625","324.0","324.0","324.0","917.546875","917.546875","917.546875","692.203125","692.203125","692.203125"
"74","426.7265625","426.7265625","426.7265625","298.8958333333333","298.8958333333333","298.8958333333333","369.1953125","369.1953125","369.1953125","","","","132.7265625","132.7265625","132.7265625","194.3125","194.3125","194.3125","232.296875","232.296875","232.296875","211.234375","211.234375","211.234375","667.484375","667.484375","667.484375","332.6328125","332.6328125","332.6328125","859.9375","859.9375","859.9375","577.2265625","577.2265625","577.2265625"
"75","415.25","415.25","415.25","294.453125","294.453125","294.453125","377.5703125","377.5703125","377.5703125","","","","173.5390625","173.5390625","173.5390625","201.8984375","201.8984375","201.8984375","255.921875","255.921875","255.921875","193.1015625","193.1015625","193.1015625","716.453125","716.453125","716.453125","353.421875","353.421875","353.421875","1114.921875","1114.921875","1114.921875","725.9140625","725.9140625","725.9140625"
"76","429.3203125","429.3203125","429.3203125","280.6328125","280.6328125","280.6328125","316.77916666666664","316.77916666666664","316.77916666666664","","","","227.8984375","227.8984375","227.8984375","201.6484375","201.6484375","201.6484375","251.125","251.125","251.125","212.046875","212.046875","212.046875","828.1640625","828.1640625","828.1640625","320.7421875","320.7421875","320.7421875","1076.9140625","1076.9140625","1076.9140625","614.390625","614.390625","614.390625"
"77","422.578125","422.578125","422.578125","297.546875","297.546875","297.546875","366.8671875","366.8671875","366.8671875","","","","512.0","512.0","512.0","193.3515625","193.3515625","193.3515625","248.40625","248.40625","248.40625","206.078125","206.078125","206.078125","655.1796875","655.1796875","655.1796875","345.0390625","345.0390625","345.0390625","916.5390625","916.5390625","916.5390625","717.1875","717.1875","717.1875"
"78","411.8984375","411.8984375","411.8984375","288.6484375","288.6484375","288.6484375","340.8203125","340.8203125","340.8203125","","","","512.0","512.0","512.0","204.796875","204.796875","204.796875","293.28125","293.28125","293.28125","199.9296875","199.9296875","199.9296875","678.03125","678.03125","678.03125","349.6328125","349.6328125","349.6328125","953.3203125","953.3203125","953.3203125","677.4765625","677.4765625","677.4765625"
"79","438.4375","438.4375","438.4375","283.8671875","283.8671875","283.8671875","347.359375","347.359375","347.359375","","","","512.0","512.0","512.0","199.40625","199.40625","199.40625","315.15625","315.15625","315.15625","214.1484375","214.1484375","214.1484375","628.953125","628.953125","628.953125","308.484375","308.484375","308.484375","808.4791666666666","808.4791666666666","808.4791666666666","667.5078125","667.5078125","667.5078125"
"80","430.1640625","430.1640625","430.1640625","279.40625","279.40625","279.40625","327.9140625","327.9140625","327.9140625","","","","512.0","512.0","512.0","184.84375","184.84375","184.84375","259.640625","259.640625","259.640625","215.2734375","215.2734375","215.2734375","658.71875","658.71875","658.71875","349.89166666666665","349.89166666666665","349.89166666666665","881.1171875","881.1171875","881.1171875","724.984375","724.984375","724.984375"
"81","423.3828125","423.3828125","423.3828125","281.6796875","281.6796875","281.6796875","345.765625","345.765625","345.765625","","","","512.0","512.0","512.0","197.0390625","197.0390625","197.0390625","252.40625","252.40625","252.40625","196.6875","196.6875","196.6875","580.2734375","580.2734375","580.2734375","320.96875","320.96875","320.96875","630.4375","630.4375","630.4375","645.078125","645.078125","645.078125"
"82","416.1875","416.1875","416.1875","294.6640625","294.6640625","294.6640625","342.7734375","342.7734375","342.7734375","","","","512.0","512.0","512.0","189.84375","189.84375","189.84375","237.984375","237.984375","237.984375","192.515625","192.515625","192.515625","531.359375","531.359375","531.359375","310.8515625","310.8515625","310.8515625","862.0546875","862.0546875","862.0546875","636.1015625","636.1015625","636.1015625"
"84","406.1953125","406.1953125","406.1953125","282.6015625","282.6015625","282.6015625","321.5078125","321.5078125","321.5078125","","","","","","","198.2625","198.2625","198.2625","319.9375","319.9375","319.9375","219.8515625","219.8515625","219.8515625","583.9296875","583.9296875","583.9296875","329.10833333333335","329.10833333333335","329.10833333333335","869.515625","869.515625","869.515625","627.1975806451613","627.1975806451613","627.1975806451613"
"85","413.5625","413.5625","413.5625","290.859375","290.859375","290.859375","351.5625","351.5625","351.5625","","","","","","","196.5078125","196.5078125","196.5078125","226.0","226.0","226.0","197.8515625","197.8515625","197.8515625","705.78125","705.78125","705.78125","287.6796875","287.6796875","287.6796875","873.703125","873.703125","873.703125","743.03125","743.03125","743.03125"
"86","435.453125","435.453125","435.453125","301.7890625","301.7890625","301.7890625","329.046875","329.046875","329.046875","","","","","","","189.3515625","189.3515625","189.3515625","232.1875","232.1875","232.1875","207.765625","207.765625","207.765625","709.140625","709.140625","709.140625","363.015625","363.015625","363.015625","908.2578125","908.2578125","908.2578125","758.109375","758.109375","758.109375"
"87","429.1015625","429.1015625","429.1015625","272.0078125","272.0078125","272.0078125","325.8359375","325.8359375","325.8359375","","","","","","","178.97083333333333","178.97083333333333","178.97083333333333","275.984375","275.984375","275.984375","207.984375","207.984375","207.984375","574.6640625","574.6640625","574.6640625","394.3671875","394.3671875","394.3671875","1059.515625","1059.515625","1059.515625","675.75","675.75","675.75"
"88","407.9140625","407.9140625","407.9140625","286.9609375","286.9609375","286.9609375","361.6484375","361.6484375","361.6484375","","","","","","","195.1796875","195.1796875","195.1796875","244.875","244.875","244.875","206.109375","206.109375","206.109375","573.6171875","573.6171875","573.6171875","295.6484375","295.6484375","295.6484375","923.4140625","923.4140625","923.4140625","578.0564516129032","578.0564516129032","578.0564516129032"
"89","434.859375","434.859375","434.859375","270.25","270.25","270.25","337.0","337.0","337.0","","","","","","","186.8671875","186.8671875","186.8671875","221.375","221.375","221.375","192.8125","192.8125","192.8125","614.78125","614.78125","614.78125","324.71666666666664","324.71666666666664","324.71666666666664","1032.796875","1032.796875","1032.796875","653.625","653.625","653.625"
"90","443.4140625","443.4140625","443.4140625","283.8828125","283.8828125","283.8828125","344.234375","344.234375","344.234375","","","","","","","183.8359375","183.8359375","183.8359375","234.28125","234.28125","234.28125","199.1953125","199.1953125","199.1953125","692.40625","692.40625","692.40625","312.0390625","312.0390625","312.0390625","804.78125","804.78125","804.78125","740.734375","740.734375","740.734375"
"91","434.6796875","434.6796875","434.6796875","292.375","292.375","292.375","337.3828125","337.3828125","337.3828125","","","","","","","184.890625","184.890625","184.890625","217.03125","217.03125","217.03125","198.4453125","198.4453125","198.4453125","565.984375","565.984375","565.984375","326.859375","326.859375","326.859375","837.3359375","837.3359375","837.3359375","683.0234375","683.0234375","683.0234375"
"92","429.0078125","429.0078125","429.0078125","280.8828125","280.8828125","280.8828125","336.1953125","336.1953125","336.1953125","","","","","","","164.5078125","164.5078125","164.5078125","291.390625","291.390625","291.390625","197.640625","197.640625","197.640625","614.5625","614.5625","614.5625","371.296875","371.296875","371.296875","797.359375","797.359375","797.359375","687.96875","687.96875","687.96875"
"93","418.8671875","418.8671875","418.8671875","259.703125","259.703125","259.703125","331.21875","331.21875","331.21875","","","","","","","184.34583333333333","184.34583333333333","184.34583333333333","244.984375","244.984375","244.984375","201.1484375","201.1484375","201.1484375","633.671875","633.671875","633.671875","379.484375","379.484375","379.484375","768.09375","768.09375","768.09375","732.6491935483871","732.6491935483871","732.6491935483871"
"94","389.140625","389.140625","389.140625","293.8125","293.8125","293.8125","327.546875","327.546875","327.546875","","","","","","","166.75","166.75","166.75","275.34375","275.34375","275.34375","202.8125","202.8125","202.8125","617.75","617.75","617.75","326.1375","326.1375","326.1375","810.796875","810.796875","810.796875","669.65625","669.65625","669.65625"
"95","404.825","404.825","404.825","283.046875","283.046875","283.046875","356.1875","356.1875","356.1875","","","","","","","163.5234375","163.5234375","163.5234375","240.625","240.625","240.625","205.671875","205.671875","205.671875","589.8125","589.8125","589.8125","384.5234375","384.5234375","384.5234375","792.1640625","792.1640625","792.1640625","637.2137096774194","637.2137096774194","637.2137096774194"
"96","408.5546875","408.5546875","408.5546875","283.09583333333336","283.09583333333336","283.09583333333336","368.12083333333334","368.12083333333334","368.12083333333334","","","","","","","164.6171875","164.6171875","164.6171875","255.828125","255.828125","255.828125","209.7109375","209.7109375","209.7109375","546.453125","546.453125","546.453125","351.5546875","351.5546875","351.5546875","646.28125","646.28125","646.28125","711.828125","711.828125","711.828125"
"97","433.515625","433.515625","433.515625","274.984375","274.984375","274.984375","348.625","348.625","348.625","","","","","","","167.475","167.475","167.475","252.53125","252.53125","252.53125","213.6796875","213.6796875","213.6796875","625.25","625.25","625.25","310.34375","310.34375","310.34375","645.8828125","645.8828125","645.8828125","652.015625","652.015625","652.015625"
"98","424.984375","424.984375","424.984375","282.359375","282.359375","282.359375","335.0390625","335.0390625","335.0390625","","","","","","","181.0","181.0","181.0","228.265625","228.265625","228.265625","210.5078125","210.5078125","210.5078125","579.1796875","579.1796875","579.1796875","340.53125","340.53125","340.53125","746.3046875","746.3046875","746.3046875","689.2265625","689.2265625","689.2265625"
"99","386.5546875","386.5546875","386.5546875","266.4296875","266.4296875","266.4296875","372.03125","372.03125","372.03125","","","","","","","165.40625","165.40625","165.40625","234.640625","234.640625","234.640625","238.1328125","238.1328125","238.1328125","570.3515625","570.3515625","570.3515625","319.890625","319.890625","319.890625","931.6953125","931.6953125","931.6953125","749.703125","749.703125","749.703125"
"100","414.984375","414.984375","414.984375","271.6171875","271.6171875","271.6171875","325.6875","325.6875","325.6875","","","","","","","167.0546875","167.0546875","167.0546875","222.421875","222.421875","222.421875","222.9453125","222.9453125","222.9453125","605.015625","605.015625","605.015625","333.9140625","333.9140625","333.9140625","685.140625","685.140625","685.140625","745.9193548387096","745.9193548387096","745.9193548387096"