"Step","w1-baseline-fast - metrics/format_reward","w1-baseline-fast - metrics/format_reward__MIN","w1-baseline-fast - metrics/format_reward__MAX","w1-alpha64-baseline - metrics/format_reward","w1-alpha64-baseline - metrics/format_reward__MIN","w1-alpha64-baseline - metrics/format_reward__MAX","w1-alpha32-baseline - metrics/format_reward","w1-alpha32-baseline - metrics/format_reward__MIN","w1-alpha32-baseline - metrics/format_reward__MAX","w1-alpha128-baseline - metrics/format_reward","w1-alpha128-baseline - metrics/format_reward__MIN","w1-alpha128-baseline - metrics/format_reward__MAX","w1-alpha64-lr1e-5 - metrics/format_reward","w1-alpha64-lr1e-5 - metrics/format_reward__MIN","w1-alpha64-lr1e-5 - metrics/format_reward__MAX","w1-alpha64-lr3e-6 - metrics/format_reward","w1-alpha64-lr3e-6 - metrics/format_reward__MIN","w1-alpha64-lr3e-6 - metrics/format_reward__MAX","w1-alpha64-lr3e-6-b64-r16 - metrics/format_reward","w1-alpha64-lr3e-6-b64-r16 - metrics/format_reward__MIN","w1-alpha64-lr3e-6-b64-r16 - metrics/format_reward__MAX","w1-alpha64-lr5e-6 - metrics/format_reward","w1-alpha64-lr5e-6 - metrics/format_reward__MIN","w1-alpha64-lr5e-6 - metrics/format_reward__MAX","w1-alpha64-lr3e-6-2048-max-tokens - metrics/format_reward","w1-alpha64-lr3e-6-2048-max-tokens - metrics/format_reward__MIN","w1-alpha64-lr3e-6-2048-max-tokens - metrics/format_reward__MAX","w1-alpha64-lr3e-6-1024-max-tokens - metrics/format_reward","w1-alpha64-lr3e-6-1024-max-tokens - metrics/format_reward__MIN","w1-alpha64-lr3e-6-1024-max-tokens - metrics/format_reward__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - metrics/format_reward","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - metrics/format_reward__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - metrics/format_reward__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - metrics/format_reward","w2-alpha64-lr3e-6-2048-max-tokens-r4 - metrics/format_reward__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - metrics/format_reward__MAX"
"44","0.3359375","0.3359375","0.3359375","0.9140625","0.9140625","0.9140625","0.734375","0.734375","0.734375","0.9765625","0.9765625","0.9765625","1.0","1.0","1.0","0.9609375","0.9609375","0.9609375","0.859375","0.859375","0.859375","0.9609375","0.9609375","0.9609375","0.96875","0.96875","0.96875","0.9609375","0.9609375","0.9609375","0.9140625","0.9140625","0.9140625","0.953125","0.953125","0.953125"
"45","0.53125","0.53125","0.53125","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.921875","0.921875","0.921875","0.984375","0.984375","0.984375","0.9765625","0.9765625","0.9765625","0.828125","0.828125","0.828125","0.921875","0.921875","0.921875","0.953125","0.953125","0.953125","0.953125","0.953125","0.953125","0.9375","0.9375","0.9375","0.9921875","0.9921875","0.9921875"
"46","0.453125","0.453125","0.453125","0.8515625","0.8515625","0.8515625","0.8203125","0.8203125","0.8203125","0.9765625","0.9765625","0.9765625","0.984375","0.984375","0.984375","0.9140625","0.9140625","0.9140625","1.0","1.0","1.0","0.953125","0.953125","0.953125","0.984375","0.984375","0.984375","0.9765625","0.9765625","0.9765625","0.984375","0.984375","0.984375","1.0","1.0","1.0"
"47","0.453125","0.453125","0.453125","0.8515625","0.8515625","0.8515625","0.84375","0.84375","0.84375","0.9296875","0.9296875","0.9296875","0.96875","0.96875","0.96875","0.9453125","0.9453125","0.9453125","1.0","1.0","1.0","0.90625","0.90625","0.90625","0.984375","0.984375","0.984375","0.96875","0.96875","0.96875","0.9765625","0.9765625","0.9765625","0.96875","0.96875","0.96875"
"48","0.421875","0.421875","0.421875","0.8671875","0.8671875","0.8671875","0.84375","0.84375","0.84375","0.9296875","0.9296875","0.9296875","0.984375","0.984375","0.984375","0.953125","0.953125","0.953125","0.953125","0.953125","0.953125","0.8359375","0.8359375","0.8359375","0.9375","0.9375","0.9375","1.0","1.0","1.0","0.9765625","0.9765625","0.9765625","0.96875","0.96875","0.96875"
"49","0.4375","0.4375","0.4375","0.84375","0.84375","0.84375","0.796875","0.796875","0.796875","0.9140625","0.9140625","0.9140625","1.0","1.0","1.0","0.9765625","0.9765625","0.9765625","0.734375","0.734375","0.734375","0.984375","0.984375","0.984375","0.921875","0.921875","0.921875","1.0","1.0","1.0","0.984375","0.984375","0.984375","1.0","1.0","1.0"
"50","0.4609375","0.4609375","0.4609375","0.84375","0.84375","0.84375","0.734375","0.734375","0.734375","0.9609375","0.9609375","0.9609375","0.921875","0.921875","0.921875","0.9921875","0.9921875","0.9921875","0.96875","0.96875","0.96875","0.921875","0.921875","0.921875","0.8984375","0.8984375","0.8984375","0.984375","0.984375","0.984375","0.9921875","0.9921875","0.9921875","0.9921875","0.9921875","0.9921875"
"51","0.46875","0.46875","0.46875","0.90625","0.90625","0.90625","0.75","0.75","0.75","0.953125","0.953125","0.953125","0.9921875","0.9921875","0.9921875","0.90625","0.90625","0.90625","1.0","1.0","1.0","0.953125","0.953125","0.953125","1.0","1.0","1.0","0.9921875","0.9921875","0.9921875","0.9296875","0.9296875","0.9296875","0.984375","0.984375","0.984375"
"52","0.40625","0.40625","0.40625","0.8828125","0.8828125","0.8828125","0.8359375","0.8359375","0.8359375","0.9375","0.9375","0.9375","0.96875","0.96875","0.96875","0.9765625","0.9765625","0.9765625","0.765625","0.765625","0.765625","0.9140625","0.9140625","0.9140625","0.9921875","0.9921875","0.9921875","0.9609375","0.9609375","0.9609375","0.921875","0.921875","0.921875","0.984375","0.984375","0.984375"
"53","0.5546875","0.5546875","0.5546875","0.8203125","0.8203125","0.8203125","0.8359375","0.8359375","0.8359375","0.9609375","0.9609375","0.9609375","1.0","1.0","1.0","0.9765625","0.9765625","0.9765625","0.96875","0.96875","0.96875","0.9609375","0.9609375","0.9609375","0.96875","0.96875","0.96875","0.984375","0.984375","0.984375","1.0","1.0","1.0","0.9609375","0.9609375","0.9609375"
"54","0.53125","0.53125","0.53125","0.9375","0.9375","0.9375","0.734375","0.734375","0.734375","0.8515625","0.8515625","0.8515625","0.96875","0.96875","0.96875","0.96875","0.96875","0.96875","0.921875","0.921875","0.921875","0.8671875","0.8671875","0.8671875","0.9921875","0.9921875","0.9921875","0.9609375","0.9609375","0.9609375","0.9609375","0.9609375","0.9609375","0.953125","0.953125","0.953125"
"55","0.4765625","0.4765625","0.4765625","0.828125","0.828125","0.828125","0.8046875","0.8046875","0.8046875","0.96875","0.96875","0.96875","1.0","1.0","1.0","0.9453125","0.9453125","0.9453125","0.859375","0.859375","0.859375","0.984375","0.984375","0.984375","0.9765625","0.9765625","0.9765625","0.9921875","0.9921875","0.9921875","0.9921875","0.9921875","0.9921875","1.0","1.0","1.0"
"56","0.4921875","0.4921875","0.4921875","0.921875","0.921875","0.921875","0.8515625","0.8515625","0.8515625","0.9765625","0.9765625","0.9765625","0.9921875","0.9921875","0.9921875","1.0","1.0","1.0","0.96875","0.96875","0.96875","0.9921875","0.9921875","0.9921875","0.953125","0.953125","0.953125","0.9765625","0.9765625","0.9765625","0.96875","0.96875","0.96875","0.9765625","0.9765625","0.9765625"
"58","0.5234375","0.5234375","0.5234375","0.8828125","0.8828125","0.8828125","0.8046875","0.8046875","0.8046875","0.9921875","0.9921875","0.9921875","0.9609375","0.9609375","0.9609375","0.9765625","0.9765625","0.9765625","1.0","1.0","1.0","0.9765625","0.9765625","0.9765625","1.0","1.0","1.0","0.984375","0.984375","0.984375","0.984375","0.984375","0.984375","0.9921875","0.9921875","0.9921875"
"59","0.609375","0.609375","0.609375","0.953125","0.953125","0.953125","0.7265625","0.7265625","0.7265625","0.921875","0.921875","0.921875","0.984375","0.984375","0.984375","0.9921875","0.9921875","0.9921875","0.875","0.875","0.875","0.9140625","0.9140625","0.9140625","1.0","1.0","1.0","0.9921875","0.9921875","0.9921875","1.0","1.0","1.0","1.0","1.0","1.0"
"60","0.3984375","0.3984375","0.3984375","0.8203125","0.8203125","0.8203125","0.8203125","0.8203125","0.8203125","0.9453125","0.9453125","0.9453125","0.9921875","0.9921875","0.9921875","0.9921875","0.9921875","0.9921875","1.0","1.0","1.0","0.9921875","0.9921875","0.9921875","1.0","1.0","1.0","0.9921875","0.9921875","0.9921875","0.953125","0.953125","0.953125","0.9609375","0.9609375","0.9609375"
"61","0.53125","0.53125","0.53125","0.90625","0.90625","0.90625","0.8359375","0.8359375","0.8359375","0.90625","0.90625","0.90625","0.984375","0.984375","0.984375","1.0","1.0","1.0","1.0","1.0","1.0","0.96875","0.96875","0.96875","0.9375","0.9375","0.9375","0.9765625","0.9765625","0.9765625","0.9609375","0.9609375","0.9609375","0.96875","0.96875","0.96875"
"62","0.40625","0.40625","0.40625","0.78125","0.78125","0.78125","0.7265625","0.7265625","0.7265625","0.90625","0.90625","0.90625","0.984375","0.984375","0.984375","1.0","1.0","1.0","1.0","1.0","1.0","0.96875","0.96875","0.96875","0.9609375","0.9609375","0.9609375","0.984375","0.984375","0.984375","0.890625","0.890625","0.890625","0.96875","0.96875","0.96875"
"63","0.5234375","0.5234375","0.5234375","0.9296875","0.9296875","0.9296875","0.9453125","0.9453125","0.9453125","0.953125","0.953125","0.953125","0.984375","0.984375","0.984375","0.9921875","0.9921875","0.9921875","1.0","1.0","1.0","0.9765625","0.9765625","0.9765625","0.9765625","0.9765625","0.9765625","1.0","1.0","1.0","0.9765625","0.9765625","0.9765625","0.9921875","0.9921875","0.9921875"
"64","0.5546875","0.5546875","0.5546875","0.8203125","0.8203125","0.8203125","0.765625","0.765625","0.765625","0.9765625","0.9765625","0.9765625","1.0","1.0","1.0","1.0","1.0","1.0","0.90625","0.90625","0.90625","0.953125","0.953125","0.953125","0.9296875","0.9296875","0.9296875","0.984375","0.984375","0.984375","0.9453125","0.9453125","0.9453125","1.0","1.0","1.0"
"65","0.5234375","0.5234375","0.5234375","0.84375","0.84375","0.84375","0.7265625","0.7265625","0.7265625","0.9296875","0.9296875","0.9296875","0.9921875","0.9921875","0.9921875","1.0","1.0","1.0","0.96875","0.96875","0.96875","0.96875","0.96875","0.96875","0.953125","0.953125","0.953125","0.9921875","0.9921875","0.9921875","0.9765625","0.9765625","0.9765625","0.9921875","0.9921875","0.9921875"
"66","0.5","0.5","0.5","0.8984375","0.8984375","0.8984375","0.8046875","0.8046875","0.8046875","0.9765625","0.9765625","0.9765625","1.0","1.0","1.0","0.9921875","0.9921875","0.9921875","0.921875","0.921875","0.921875","1.0","1.0","1.0","0.9921875","0.9921875","0.9921875","0.9609375","0.9609375","0.9609375","0.984375","0.984375","0.984375","0.984375","0.984375","0.984375"
"67","0.53125","0.53125","0.53125","0.921875","0.921875","0.921875","0.8125","0.8125","0.8125","0.9609375","0.9609375","0.9609375","1.0","1.0","1.0","1.0","1.0","1.0","0.953125","0.953125","0.953125","0.9921875","0.9921875","0.9921875","0.984375","0.984375","0.984375","0.9609375","0.9609375","0.9609375","1.0","1.0","1.0","0.9765625","0.9765625","0.9765625"
"68","0.5859375","0.5859375","0.5859375","0.921875","0.921875","0.921875","0.8828125","0.8828125","0.8828125","0.96875","0.96875","0.96875","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9609375","0.9609375","0.9609375","0.9765625","0.9765625","0.9765625","0.984375","0.984375","0.984375","0.9453125","0.9453125","0.9453125","1.0","1.0","1.0"
"69","0.71875","0.71875","0.71875","0.859375","0.859375","0.859375","0.7265625","0.7265625","0.7265625","0.9921875","0.9921875","0.9921875","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.96875","0.96875","0.96875","1.0","1.0","1.0","0.9921875","0.9921875","0.9921875","0.9375","0.9375","0.9375","0.953125","0.953125","0.953125"
"70","0.5","0.5","0.5","0.9140625","0.9140625","0.9140625","0.7890625","0.7890625","0.7890625","0.9765625","0.9765625","0.9765625","1.0","1.0","1.0","0.9921875","0.9921875","0.9921875","1.0","1.0","1.0","0.9921875","0.9921875","0.9921875","1.0","1.0","1.0","0.9921875","0.9921875","0.9921875","0.9296875","0.9296875","0.9296875","0.9765625","0.9765625","0.9765625"
"71","0.546875","0.546875","0.546875","0.9375","0.9375","0.9375","0.8671875","0.8671875","0.8671875","","","","0.9921875","0.9921875","0.9921875","1.0","1.0","1.0","0.984375","0.984375","0.984375","1.0","1.0","1.0","0.9921875","0.9921875","0.9921875","1.0","1.0","1.0","0.9765625","0.9765625","0.9765625","0.984375","0.984375","0.984375"
"72","0.6171875","0.6171875","0.6171875","0.9296875","0.9296875","0.9296875","0.8828125","0.8828125","0.8828125","","","","1.0","1.0","1.0","0.9921875","0.9921875","0.9921875","0.984375","0.984375","0.984375","0.9921875","0.9921875","0.9921875","0.984375","0.984375","0.984375","0.9609375","0.9609375","0.9609375","0.9609375","0.9609375","0.9609375","0.9609375","0.9609375","0.9609375"
"73","0.5859375","0.5859375","0.5859375","0.921875","0.921875","0.921875","0.9296875","0.9296875","0.9296875","","","","0.9140625","0.9140625","0.9140625","1.0","1.0","1.0","0.90625","0.90625","0.90625","0.96875","0.96875","0.96875","1.0","1.0","1.0","1.0","1.0","1.0","0.953125","0.953125","0.953125","0.9921875","0.9921875","0.9921875"
"74","0.5625","0.5625","0.5625","0.9296875","0.9296875","0.9296875","0.78125","0.78125","0.78125","","","","0.9140625","0.9140625","0.9140625","1.0","1.0","1.0","1.0","1.0","1.0","0.9921875","0.9921875","0.9921875","0.984375","0.984375","0.984375","0.96875","0.96875","0.96875","0.890625","0.890625","0.890625","0.9921875","0.9921875","0.9921875"
"75","0.6171875","0.6171875","0.6171875","0.9453125","0.9453125","0.9453125","0.671875","0.671875","0.671875","","","","0.890625","0.890625","0.890625","1.0","1.0","1.0","0.96875","0.96875","0.96875","1.0","1.0","1.0","0.9765625","0.9765625","0.9765625","0.984375","0.984375","0.984375","0.8984375","0.8984375","0.8984375","0.96875","0.96875","0.96875"
"76","0.5546875","0.5546875","0.5546875","0.9140625","0.9140625","0.9140625","0.9140625","0.9140625","0.9140625","","","","0.3125","0.3125","0.3125","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.984375","0.984375","0.984375","1.0","1.0","1.0","0.8359375","0.8359375","0.8359375","0.9921875","0.9921875","0.9921875"
"77","0.609375","0.609375","0.609375","0.8984375","0.8984375","0.8984375","0.8046875","0.8046875","0.8046875","","","","0.0","0.0","0.0","0.9921875","0.9921875","0.9921875","1.0","1.0","1.0","0.984375","0.984375","0.984375","0.9921875","0.9921875","0.9921875","0.984375","0.984375","0.984375","0.9609375","0.9609375","0.9609375","0.96875","0.96875","0.96875"
"78","0.703125","0.703125","0.703125","0.9375","0.9375","0.9375","0.875","0.875","0.875","","","","0.0","0.0","0.0","0.9921875","0.9921875","0.9921875","0.875","0.875","0.875","1.0","1.0","1.0","0.9921875","0.9921875","0.9921875","0.953125","0.953125","0.953125","0.96875","0.96875","0.96875","0.984375","0.984375","0.984375"
"79","0.390625","0.390625","0.390625","0.9921875","0.9921875","0.9921875","0.84375","0.84375","0.84375","","","","0.0","0.0","0.0","0.9921875","0.9921875","0.9921875","0.828125","0.828125","0.828125","1.0","1.0","1.0","1.0","1.0","1.0","0.9921875","0.9921875","0.9921875","0.984375","0.984375","0.984375","0.9921875","0.9921875","0.9921875"
"80","0.5234375","0.5234375","0.5234375","0.9453125","0.9453125","0.9453125","0.8515625","0.8515625","0.8515625","","","","0.0","0.0","0.0","0.9921875","0.9921875","0.9921875","0.890625","0.890625","0.890625","0.96875","0.96875","0.96875","0.9921875","0.9921875","0.9921875","0.984375","0.984375","0.984375","0.953125","0.953125","0.953125","0.96875","0.96875","0.96875"
"81","0.6015625","0.6015625","0.6015625","0.9375","0.9375","0.9375","0.8671875","0.8671875","0.8671875","","","","0.0","0.0","0.0","0.9921875","0.9921875","0.9921875","0.984375","0.984375","0.984375","1.0","1.0","1.0","1.0","1.0","1.0","0.9765625","0.9765625","0.9765625","1.0","1.0","1.0","1.0","1.0","1.0"
"82","0.6171875","0.6171875","0.6171875","0.9609375","0.9609375","0.9609375","0.8984375","0.8984375","0.8984375","","","","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9921875","0.9921875","0.9921875","1.0","1.0","1.0","0.984375","0.984375","0.984375","0.921875","0.921875","0.921875","0.9921875","0.9921875","0.9921875"
"84","0.65625","0.65625","0.65625","0.9375","0.9375","0.9375","0.8984375","0.8984375","0.8984375","","","","","","","1.0","1.0","1.0","0.90625","0.90625","0.90625","1.0","1.0","1.0","0.9921875","0.9921875","0.9921875","0.9921875","0.9921875","0.9921875","0.953125","0.953125","0.953125","1.0","1.0","1.0"
"85","0.609375","0.609375","0.609375","0.9609375","0.9609375","0.9609375","0.796875","0.796875","0.796875","","","","","","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.984375","0.984375","0.984375","1.0","1.0","1.0","1.0","1.0","1.0","0.953125","0.953125","0.953125"
"86","0.5","0.5","0.5","0.9296875","0.9296875","0.9296875","0.9140625","0.9140625","0.9140625","","","","","","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.984375","0.984375","0.984375","0.984375","0.984375","0.984375","0.9296875","0.9296875","0.9296875","0.9765625","0.9765625","0.9765625"
"87","0.5546875","0.5546875","0.5546875","0.9765625","0.9765625","0.9765625","0.90625","0.90625","0.90625","","","","","","","1.0","1.0","1.0","0.90625","0.90625","0.90625","0.984375","0.984375","0.984375","1.0","1.0","1.0","0.9375","0.9375","0.9375","0.9453125","0.9453125","0.9453125","1.0","1.0","1.0"
"88","0.59375","0.59375","0.59375","0.9609375","0.9609375","0.9609375","0.796875","0.796875","0.796875","","","","","","","1.0","1.0","1.0","0.9375","0.9375","0.9375","1.0","1.0","1.0","1.0","1.0","1.0","0.9921875","0.9921875","0.9921875","0.953125","0.953125","0.953125","0.9921875","0.9921875","0.9921875"
"89","0.5703125","0.5703125","0.5703125","0.9765625","0.9765625","0.9765625","0.8984375","0.8984375","0.8984375","","","","","","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9921875","0.9921875","0.9921875","0.9921875","0.9921875","0.9921875","0.9609375","0.9609375","0.9609375","0.9765625","0.9765625","0.9765625"
"90","0.4765625","0.4765625","0.4765625","0.90625","0.90625","0.90625","0.828125","0.828125","0.828125","","","","","","","1.0","1.0","1.0","0.984375","0.984375","0.984375","1.0","1.0","1.0","0.9765625","0.9765625","0.9765625","1.0","1.0","1.0","1.0","1.0","1.0","0.9765625","0.9765625","0.9765625"
"91","0.5234375","0.5234375","0.5234375","0.9375","0.9375","0.9375","0.8671875","0.8671875","0.8671875","","","","","","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.984375","0.984375","0.984375","0.9453125","0.9453125","0.9453125","1.0","1.0","1.0"
"92","0.4765625","0.4765625","0.4765625","0.9609375","0.9609375","0.9609375","0.8515625","0.8515625","0.8515625","","","","","","","1.0","1.0","1.0","0.984375","0.984375","0.984375","0.9921875","0.9921875","0.9921875","0.9921875","0.9921875","0.9921875","0.9453125","0.9453125","0.9453125","0.9765625","0.9765625","0.9765625","1.0","1.0","1.0"
"93","0.53125","0.53125","0.53125","0.984375","0.984375","0.984375","0.921875","0.921875","0.921875","","","","","","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.953125","0.953125","0.953125","0.984375","0.984375","0.984375","1.0","1.0","1.0"
"94","0.734375","0.734375","0.734375","0.9140625","0.9140625","0.9140625","0.90625","0.90625","0.90625","","","","","","","1.0","1.0","1.0","0.984375","0.984375","0.984375","0.9921875","0.9921875","0.9921875","1.0","1.0","1.0","1.0","1.0","1.0","0.9296875","0.9296875","0.9296875","1.0","1.0","1.0"
"95","0.703125","0.703125","0.703125","0.8984375","0.8984375","0.8984375","0.796875","0.796875","0.796875","","","","","","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.953125","0.953125","0.953125","0.9609375","0.9609375","0.9609375","0.9921875","0.9921875","0.9921875"
"96","0.6640625","0.6640625","0.6640625","0.9453125","0.9453125","0.9453125","0.7578125","0.7578125","0.7578125","","","","","","","1.0","1.0","1.0","0.953125","0.953125","0.953125","1.0","1.0","1.0","0.9921875","0.9921875","0.9921875","0.9375","0.9375","0.9375","0.9921875","0.9921875","0.9921875","1.0","1.0","1.0"
"97","0.5390625","0.5390625","0.5390625","0.96875","0.96875","0.96875","0.8515625","0.8515625","0.8515625","","","","","","","0.9765625","0.9765625","0.9765625","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"98","0.53125","0.53125","0.53125","0.96875","0.96875","0.96875","0.890625","0.890625","0.890625","","","","","","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.96875","0.96875","0.96875","0.9453125","0.9453125","0.9453125","0.984375","0.984375","0.984375"
"99","0.71875","0.71875","0.71875","0.9765625","0.9765625","0.9765625","0.6953125","0.6953125","0.6953125","","","","","","","1.0","1.0","1.0","0.984375","0.984375","0.984375","0.9765625","0.9765625","0.9765625","1.0","1.0","1.0","1.0","1.0","1.0","0.90625","0.90625","0.90625","0.96875","0.96875","0.96875"
"100","0.65625","0.65625","0.65625","0.9765625","0.9765625","0.9765625","0.828125","0.828125","0.828125","","","","","","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.96875","0.96875","0.96875","0.9765625","0.9765625","0.9765625","0.9921875","0.9921875","0.9921875"