"Step","w1-baseline-fast - reward/mean","w1-baseline-fast - reward/mean__MIN","w1-baseline-fast - reward/mean__MAX","w1-alpha64-baseline - reward/mean","w1-alpha64-baseline - reward/mean__MIN","w1-alpha64-baseline - reward/mean__MAX","w1-alpha32-baseline - reward/mean","w1-alpha32-baseline - reward/mean__MIN","w1-alpha32-baseline - reward/mean__MAX","w1-alpha128-baseline - reward/mean","w1-alpha128-baseline - reward/mean__MIN","w1-alpha128-baseline - reward/mean__MAX","w1-alpha64-lr1e-5 - reward/mean","w1-alpha64-lr1e-5 - reward/mean__MIN","w1-alpha64-lr1e-5 - reward/mean__MAX","w1-alpha64-lr3e-6 - reward/mean","w1-alpha64-lr3e-6 - reward/mean__MIN","w1-alpha64-lr3e-6 - reward/mean__MAX","w1-alpha64-lr3e-6-b64-r16 - reward/mean","w1-alpha64-lr3e-6-b64-r16 - reward/mean__MIN","w1-alpha64-lr3e-6-b64-r16 - reward/mean__MAX","w1-alpha64-lr5e-6 - reward/mean","w1-alpha64-lr5e-6 - reward/mean__MIN","w1-alpha64-lr5e-6 - reward/mean__MAX","w1-alpha64-lr3e-6-2048-max-tokens - reward/mean","w1-alpha64-lr3e-6-2048-max-tokens - reward/mean__MIN","w1-alpha64-lr3e-6-2048-max-tokens - reward/mean__MAX","w1-alpha64-lr3e-6-1024-max-tokens - reward/mean","w1-alpha64-lr3e-6-1024-max-tokens - reward/mean__MIN","w1-alpha64-lr3e-6-1024-max-tokens - reward/mean__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - reward/mean","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - reward/mean__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - reward/mean__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - reward/mean","w2-alpha64-lr3e-6-2048-max-tokens-r4 - reward/mean__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - reward/mean__MAX"
"1","0.326484375","0.326484375","0.326484375","0.38882812499999986","0.38882812499999986","0.38882812499999986","0.34281249999999996","0.34281249999999996","0.34281249999999996","0.32820312499999993","0.32820312499999993","0.32820312499999993","0.3130078125","0.3130078125","0.3130078125","0.31187499999999996","0.31187499999999996","0.31187499999999996","0.25710937500000003","0.25710937500000003","0.25710937500000003","0.27605468749999995","0.27605468749999995","0.27605468749999995","0.6371875","0.6371875","0.6371875","0.6198437499999998","0.6198437499999998","0.6198437499999998","0.771484375","0.771484375","0.771484375","0.919453125","0.919453125","0.919453125"
"2","0.2544140625","0.2544140625","0.2544140625","0.26300781249999994","0.26300781249999994","0.26300781249999994","0.3572656249999999","0.3572656249999999","0.3572656249999999","0.3315625","0.3315625","0.3315625","0.2869921875","0.2869921875","0.2869921875","0.3285937499999999","0.3285937499999999","0.3285937499999999","0.424140625","0.424140625","0.424140625","0.2851562499999999","0.2851562499999999","0.2851562499999999","0.831484375","0.831484375","0.831484375","0.5773828124999998","0.5773828124999998","0.5773828124999998","0.7399609375","0.7399609375","0.7399609375","0.7930468749999999","0.7930468749999999","0.7930468749999999"
"3","0.3228515624999999","0.3228515624999999","0.3228515624999999","0.27824218749999996","0.27824218749999996","0.27824218749999996","0.4482421874999999","0.4482421874999999","0.4482421874999999","0.3146874999999999","0.3146874999999999","0.3146874999999999","0.25691406250000004","0.25691406250000004","0.25691406250000004","0.3530468749999999","0.3530468749999999","0.3530468749999999","0.451484375","0.451484375","0.451484375","0.32246093749999993","0.32246093749999993","0.32246093749999993","0.6940234374999998","0.6940234374999998","0.6940234374999998","0.719296875","0.719296875","0.719296875","0.6928515624999999","0.6928515624999999","0.6928515624999999","0.7470312499999999","0.7470312499999999","0.7470312499999999"
"4","0.29941406249999997","0.29941406249999997","0.29941406249999997","0.3119140625","0.3119140625","0.3119140625","0.38324218749999994","0.38324218749999994","0.38324218749999994","0.38617187499999994","0.38617187499999994","0.38617187499999994","0.40132812499999987","0.40132812499999987","0.40132812499999987","0.29859375","0.29859375","0.29859375","0.28500000000000003","0.28500000000000003","0.28500000000000003","0.31031249999999994","0.31031249999999994","0.31031249999999994","0.7074999999999998","0.7074999999999998","0.7074999999999998","0.6099999999999999","0.6099999999999999","0.6099999999999999","0.83203125","0.83203125","0.83203125","0.7549609374999999","0.7549609374999999","0.7549609374999999"
"5","0.43351562499999985","0.43351562499999985","0.43351562499999985","0.35847656249999993","0.35847656249999993","0.35847656249999993","0.2348046875","0.2348046875","0.2348046875","0.2811328125","0.2811328125","0.2811328125","0.38007812499999993","0.38007812499999993","0.38007812499999993","0.30730468749999995","0.30730468749999995","0.30730468749999995","0.21890625","0.21890625","0.21890625","0.37480468749999996","0.37480468749999996","0.37480468749999996","0.8810546875","0.8810546875","0.8810546875","0.6724999999999999","0.6724999999999999","0.6724999999999999","0.7156640624999998","0.7156640624999998","0.7156640624999998","0.794921875","0.794921875","0.794921875"
"6","0.33105468749999994","0.33105468749999994","0.33105468749999994","0.3034765625","0.3034765625","0.3034765625","0.28265624999999994","0.28265624999999994","0.28265624999999994","0.3752343749999999","0.3752343749999999","0.3752343749999999","0.42164062499999994","0.42164062499999994","0.42164062499999994","0.29644531249999995","0.29644531249999995","0.29644531249999995","0.17171875000000003","0.17171875000000003","0.17171875000000003","0.35749999999999993","0.35749999999999993","0.35749999999999993","0.6409765624999999","0.6409765624999999","0.6409765624999999","0.59203125","0.59203125","0.59203125","0.5965624999999999","0.5965624999999999","0.5965624999999999","0.5525","0.5525","0.5525"
"7","0.37515624999999997","0.37515624999999997","0.37515624999999997","0.3793749999999999","0.3793749999999999","0.3793749999999999","0.35371093749999993","0.35371093749999993","0.35371093749999993","0.30957031249999994","0.30957031249999994","0.30957031249999994","0.46734374999999995","0.46734374999999995","0.46734374999999995","0.30316406250000005","0.30316406250000005","0.30316406250000005","0.371640625","0.371640625","0.371640625","0.4131249999999999","0.4131249999999999","0.4131249999999999","0.7606250000000001","0.7606250000000001","0.7606250000000001","0.7091015624999999","0.7091015624999999","0.7091015624999999","0.7715624999999999","0.7715624999999999","0.7715624999999999","0.718046875","0.718046875","0.718046875"
"8","0.35472656249999995","0.35472656249999995","0.35472656249999995","0.37734375","0.37734375","0.37734375","0.3605859375","0.3605859375","0.3605859375","0.3657031249999999","0.3657031249999999","0.3657031249999999","0.4825390625","0.4825390625","0.4825390625","0.4583593749999999","0.4583593749999999","0.4583593749999999","0.39609375","0.39609375","0.39609375","0.552265625","0.552265625","0.552265625","0.703125","0.703125","0.703125","0.5938281249999999","0.5938281249999999","0.5938281249999999","0.8480859375","0.8480859375","0.8480859375","0.6239062499999999","0.6239062499999999","0.6239062499999999"
"9","0.3987109374999999","0.3987109374999999","0.3987109374999999","0.333984375","0.333984375","0.333984375","0.30558593749999996","0.30558593749999996","0.30558593749999996","0.3782812499999999","0.3782812499999999","0.3782812499999999","0.7434765624999999","0.7434765624999999","0.7434765624999999","0.5998046874999998","0.5998046874999998","0.5998046874999998","0.52296875","0.52296875","0.52296875","0.44367187499999994","0.44367187499999994","0.44367187499999994","0.7181640625","0.7181640625","0.7181640625","0.6251562499999999","0.6251562499999999","0.6251562499999999","0.8842578125","0.8842578125","0.8842578125","0.74296875","0.74296875","0.74296875"
"10","0.3180859374999999","0.3180859374999999","0.3180859374999999","0.30046874999999995","0.30046874999999995","0.30046874999999995","0.4243749999999999","0.4243749999999999","0.4243749999999999","0.42816406249999994","0.42816406249999994","0.42816406249999994","0.6265234375","0.6265234375","0.6265234375","0.44644531249999997","0.44644531249999997","0.44644531249999997","0.7160156249999998","0.7160156249999998","0.7160156249999998","0.5323437499999999","0.5323437499999999","0.5323437499999999","0.6650390625","0.6650390625","0.6650390625","0.7164843749999998","0.7164843749999998","0.7164843749999998","0.785625","0.785625","0.785625","0.8280859375","0.8280859375","0.8280859375"
"11","0.33320312499999993","0.33320312499999993","0.33320312499999993","0.4058984375","0.4058984375","0.4058984375","0.34886718749999995","0.34886718749999995","0.34886718749999995","0.4526171874999999","0.4526171874999999","0.4526171874999999","0.56828125","0.56828125","0.56828125","0.5628906249999999","0.5628906249999999","0.5628906249999999","0.866484375","0.866484375","0.866484375","0.6699999999999999","0.6699999999999999","0.6699999999999999","0.83984375","0.83984375","0.83984375","0.8037109375","0.8037109375","0.8037109375","0.6905078124999999","0.6905078124999999","0.6905078124999999","0.6848046874999999","0.6848046874999999","0.6848046874999999"
"12","0.3845703124999999","0.3845703124999999","0.3845703124999999","0.3446874999999999","0.3446874999999999","0.3446874999999999","0.39386718749999994","0.39386718749999994","0.39386718749999994","0.4776562499999999","0.4776562499999999","0.4776562499999999","0.6378515624999999","0.6378515624999999","0.6378515624999999","0.675546875","0.675546875","0.675546875","0.488046875","0.488046875","0.488046875","0.6376562499999999","0.6376562499999999","0.6376562499999999","0.7609765624999999","0.7609765624999999","0.7609765624999999","0.6718359374999998","0.6718359374999998","0.6718359374999998","0.7061718749999999","0.7061718749999999","0.7061718749999999","0.743203125","0.743203125","0.743203125"
"13","0.3637499999999999","0.3637499999999999","0.3637499999999999","0.3840234374999999","0.3840234374999999","0.3840234374999999","0.3616015624999999","0.3616015624999999","0.3616015624999999","0.4225781249999999","0.4225781249999999","0.4225781249999999","0.7685937500000001","0.7685937500000001","0.7685937500000001","0.6391015624999998","0.6391015624999998","0.6391015624999998","0.18406250000000002","0.18406250000000002","0.18406250000000002","0.4448046874999999","0.4448046874999999","0.4448046874999999","0.6611328124999999","0.6611328124999999","0.6611328124999999","0.6925390624999999","0.6925390624999999","0.6925390624999999","0.739296875","0.739296875","0.739296875","0.7203515624999999","0.7203515624999999","0.7203515624999999"
"14","0.3295703124999999","0.3295703124999999","0.3295703124999999","0.41816406249999993","0.41816406249999993","0.41816406249999993","0.3445703124999999","0.3445703124999999","0.3445703124999999","0.5190234375","0.5190234375","0.5190234375","0.6876953125","0.6876953125","0.6876953125","0.6739843749999999","0.6739843749999999","0.6739843749999999","0.64296875","0.64296875","0.64296875","0.45109374999999996","0.45109374999999996","0.45109374999999996","0.7744921874999998","0.7744921874999998","0.7744921874999998","0.6603515624999998","0.6603515624999998","0.6603515624999998","0.7779296874999999","0.7779296874999999","0.7779296874999999","0.8397265625","0.8397265625","0.8397265625"
"15","0.3932812499999999","0.3932812499999999","0.3932812499999999","0.46328125","0.46328125","0.46328125","0.3630078124999999","0.3630078124999999","0.3630078124999999","0.5915625","0.5915625","0.5915625","0.6293359374999999","0.6293359374999999","0.6293359374999999","0.662890625","0.662890625","0.662890625","0.3046875","0.3046875","0.3046875","0.7639843749999999","0.7639843749999999","0.7639843749999999","0.64421875","0.64421875","0.64421875","0.7423828124999999","0.7423828124999999","0.7423828124999999","0.7541796875","0.7541796875","0.7541796875","0.7446875000000001","0.7446875000000001","0.7446875000000001"
"16","0.28214843749999996","0.28214843749999996","0.28214843749999996","0.4408203124999999","0.4408203124999999","0.4408203124999999","0.4189453124999999","0.4189453124999999","0.4189453124999999","0.7194140625","0.7194140625","0.7194140625","0.5916406249999999","0.5916406249999999","0.5916406249999999","0.6768749999999999","0.6768749999999999","0.6768749999999999","0.7453125","0.7453125","0.7453125","0.558984375","0.558984375","0.558984375","0.8235937499999999","0.8235937499999999","0.8235937499999999","0.743125","0.743125","0.743125","0.7428906249999998","0.7428906249999998","0.7428906249999998","0.6918359374999999","0.6918359374999999","0.6918359374999999"
"17","0.4429687499999999","0.4429687499999999","0.4429687499999999","0.40691406249999995","0.40691406249999995","0.40691406249999995","0.37953124999999993","0.37953124999999993","0.37953124999999993","0.514140625","0.514140625","0.514140625","0.6132421875","0.6132421875","0.6132421875","0.618828125","0.618828125","0.618828125","0.294296875","0.294296875","0.294296875","0.6481640624999998","0.6481640624999998","0.6481640624999998","0.7500390625","0.7500390625","0.7500390625","0.7314062499999998","0.7314062499999998","0.7314062499999998","0.8145312499999999","0.8145312499999999","0.8145312499999999","0.7163671875","0.7163671875","0.7163671875"
"18","0.3255859375","0.3255859375","0.3255859375","0.3887109374999999","0.3887109374999999","0.3887109374999999","0.3119140625","0.3119140625","0.3119140625","0.7487890625","0.7487890625","0.7487890625","0.6709765624999999","0.6709765624999999","0.6709765624999999","0.7336328125","0.7336328125","0.7336328125","0.7463281249999999","0.7463281249999999","0.7463281249999999","0.6892968749999999","0.6892968749999999","0.6892968749999999","0.7544140625","0.7544140625","0.7544140625","0.5659375","0.5659375","0.5659375","0.6930468749999998","0.6930468749999998","0.6930468749999998","0.6672265625","0.6672265625","0.6672265625"
"19","0.36296874999999995","0.36296874999999995","0.36296874999999995","0.42640625","0.42640625","0.42640625","0.42703125","0.42703125","0.42703125","0.4677343749999999","0.4677343749999999","0.4677343749999999","0.6912109375","0.6912109375","0.6912109375","0.74140625","0.74140625","0.74140625","0.44359375","0.44359375","0.44359375","0.61671875","0.61671875","0.61671875","0.70875","0.70875","0.70875","0.8316015625","0.8316015625","0.8316015625","0.7736328124999998","0.7736328124999998","0.7736328124999998","0.7026562499999999","0.7026562499999999","0.7026562499999999"
"20","0.27585937499999996","0.27585937499999996","0.27585937499999996","0.5489843750000001","0.5489843750000001","0.5489843750000001","0.4407421874999999","0.4407421874999999","0.4407421874999999","0.6691796874999999","0.6691796874999999","0.6691796874999999","0.5332812499999999","0.5332812499999999","0.5332812499999999","0.7669531249999999","0.7669531249999999","0.7669531249999999","0.590390625","0.590390625","0.590390625","0.48624999999999996","0.48624999999999996","0.48624999999999996","0.6190234374999999","0.6190234374999999","0.6190234374999999","0.6542968749999999","0.6542968749999999","0.6542968749999999","0.7299609374999999","0.7299609374999999","0.7299609374999999","0.6951562499999999","0.6951562499999999","0.6951562499999999"
"21","0.34085937499999996","0.34085937499999996","0.34085937499999996","0.6405859375","0.6405859375","0.6405859375","0.4319921874999999","0.4319921874999999","0.4319921874999999","0.45773437499999997","0.45773437499999997","0.45773437499999997","0.7533203125","0.7533203125","0.7533203125","0.4971875","0.4971875","0.4971875","0.6666406249999999","0.6666406249999999","0.6666406249999999","0.7214062499999999","0.7214062499999999","0.7214062499999999","0.6959374999999999","0.6959374999999999","0.6959374999999999","0.6616015625","0.6616015625","0.6616015625","0.7252343749999999","0.7252343749999999","0.7252343749999999","0.7209375","0.7209375","0.7209375"
"22","0.286484375","0.286484375","0.286484375","0.5856640625","0.5856640625","0.5856640625","0.31003906249999996","0.31003906249999996","0.31003906249999996","0.508671875","0.508671875","0.508671875","0.6594921875","0.6594921875","0.6594921875","0.6770312499999999","0.6770312499999999","0.6770312499999999","0.5409375","0.5409375","0.5409375","0.6165234374999999","0.6165234374999999","0.6165234374999999","0.7389453124999998","0.7389453124999998","0.7389453124999998","0.6591796874999999","0.6591796874999999","0.6591796874999999","0.7458984375","0.7458984375","0.7458984375","0.6759765624999998","0.6759765624999998","0.6759765624999998"
"23","0.3537890624999999","0.3537890624999999","0.3537890624999999","0.6640234374999999","0.6640234374999999","0.6640234374999999","0.34585937499999997","0.34585937499999997","0.34585937499999997","0.5894921874999999","0.5894921874999999","0.5894921874999999","0.6480859375","0.6480859375","0.6480859375","0.6137890624999999","0.6137890624999999","0.6137890624999999","0.5354687499999999","0.5354687499999999","0.5354687499999999","0.7069531250000001","0.7069531250000001","0.7069531250000001","0.7394921875","0.7394921875","0.7394921875","0.6116796875","0.6116796875","0.6116796875","0.8347265625","0.8347265625","0.8347265625","0.700078125","0.700078125","0.700078125"
"24","0.36632812499999995","0.36632812499999995","0.36632812499999995","0.6597265625","0.6597265625","0.6597265625","0.5119140624999999","0.5119140624999999","0.5119140624999999","0.591015625","0.591015625","0.591015625","0.6966015624999999","0.6966015624999999","0.6966015624999999","0.7038671875","0.7038671875","0.7038671875","0.745859375","0.745859375","0.745859375","0.7612890625","0.7612890625","0.7612890625","0.798828125","0.798828125","0.798828125","0.6861718749999999","0.6861718749999999","0.6861718749999999","0.7426953125","0.7426953125","0.7426953125","0.7449218749999998","0.7449218749999998","0.7449218749999998"
"25","0.28886718749999996","0.28886718749999996","0.28886718749999996","0.4539062499999999","0.4539062499999999","0.4539062499999999","0.5172656249999998","0.5172656249999998","0.5172656249999998","0.6700390624999999","0.6700390624999999","0.6700390624999999","0.6800390625","0.6800390625","0.6800390625","0.6398828125","0.6398828125","0.6398828125","0.7448437499999999","0.7448437499999999","0.7448437499999999","0.6741015624999999","0.6741015624999999","0.6741015624999999","0.78375","0.78375","0.78375","0.6061718749999999","0.6061718749999999","0.6061718749999999","0.7758203124999998","0.7758203124999998","0.7758203124999998","0.6967578124999998","0.6967578124999998","0.6967578124999998"
"26","0.32554687499999996","0.32554687499999996","0.32554687499999996","0.545546875","0.545546875","0.545546875","0.45378906249999995","0.45378906249999995","0.45378906249999995","0.6176953124999999","0.6176953124999999","0.6176953124999999","0.6703125000000001","0.6703125000000001","0.6703125000000001","0.6705078125","0.6705078125","0.6705078125","0.4678125","0.4678125","0.4678125","0.5814843749999999","0.5814843749999999","0.5814843749999999","0.7485546875","0.7485546875","0.7485546875","0.5782421875","0.5782421875","0.5782421875","0.8159765625","0.8159765625","0.8159765625","0.7587890625","0.7587890625","0.7587890625"
"27","0.3277734375","0.3277734375","0.3277734375","0.6434374999999999","0.6434374999999999","0.6434374999999999","0.5230078125","0.5230078125","0.5230078125","0.7548046875000001","0.7548046875000001","0.7548046875000001","0.7036328125","0.7036328125","0.7036328125","0.6846875","0.6846875","0.6846875","0.609765625","0.609765625","0.609765625","0.6565624999999999","0.6565624999999999","0.6565624999999999","0.7248046874999999","0.7248046874999999","0.7248046874999999","0.711328125","0.711328125","0.711328125","0.896953125","0.896953125","0.896953125","0.8528125","0.8528125","0.8528125"
"28","0.31218749999999995","0.31218749999999995","0.31218749999999995","0.47968749999999993","0.47968749999999993","0.47968749999999993","0.5808984374999999","0.5808984374999999","0.5808984374999999","0.613984375","0.613984375","0.613984375","0.6392187500000001","0.6392187500000001","0.6392187500000001","0.7353125","0.7353125","0.7353125","0.617109375","0.617109375","0.617109375","0.6492578124999999","0.6492578124999999","0.6492578124999999","0.6751953124999999","0.6751953124999999","0.6751953124999999","0.8626562500000001","0.8626562500000001","0.8626562500000001","0.6238281249999998","0.6238281249999998","0.6238281249999998","0.812890625","0.812890625","0.812890625"
